trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.3, 'e': 0.9409093224345312}",25,4,-13.292626713377203,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.937548884426816}",25,0,-165.54762302266406,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
105,False,"{'a': 0.3, 'e': 0.9340107439705128}",20,0,-121.60650628682247,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
106,False,"{'a': 0.3, 'e': 0.9302870566371503}",25,0,-52.13619896499551,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.3, 'e': 0.9263698109599828}",25,1,-123.95546060319307,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 2}",1
108,False,"{'a': 0.3, 'e': 0.9222508471596778}",20,0,-86.50404302425505,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
109,False,"{'a': 0.3, 'e': 0.9179218790745441}",20,0,-169.05764685643314,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
110,False,"{'a': 0.3, 'e': 0.9133745195278411}",20,0,-145.9063340603168,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
111,False,"{'a': 0.3, 'e': 0.9086003093572229}",20,0,-78.4594724108901,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
112,False,"{'a': 0.3, 'e': 0.9035907503187542}",20,0,-66.5922382806184,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.3, 'e': 0.8983373420594585}",25,0,-169.16225900805128,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
114,False,"{'a': 0.3, 'e': 0.8928316233272464}",25,0,-110.42828217115643,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
115,False,"{'a': 0.3, 'e': 0.8870652175545971}",20,0,-69.39772158991258,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
